,Season,Team,G_bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_bat,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR_bat,,W_x,L,SV,G_pitch,GS,IP,SO,K/9,BB/9,HR/9,BABIP_pitch,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR_pitch,W_y
8,2007.0,Indians,2225.0,6367.0,178.0,811.0,784.0,72.0,0.09300000000000001,0.18899999999999997,0.159,0.31,0.268,0.343,0.428,0.336,104.0,,0.3,31.9,-29.6,21.7,96.0,66.0,49.0,557.0,162.0,1462.2,1047.0,6.44,2.52,0.9,0.302,0.7190000000000001,0.45299999999999996,0.087,4.05,4.06,4.21,20.5,96
9,2007.0,Cubs,2379.0,6268.0,151.0,752.0,711.0,86.0,0.08,0.168,0.15,0.308,0.271,0.333,0.422,0.329,90.0,,-3.9,-87.0,96.7,21.1,85.0,77.0,39.0,640.0,162.0,1446.2,1211.0,7.53,3.56,1.03,0.281,0.736,0.413,0.096,4.04,4.36,4.36,17.7,85
10,2007.0,Marlins,2423.0,6344.0,201.0,790.0,749.0,105.0,0.08199999999999999,0.21,0.181,0.315,0.267,0.336,0.448,0.34,101.0,,3.8,9.4,-6.3,20.7,71.0,91.0,40.0,722.0,162.0,1443.2,1142.0,7.12,4.12,1.1,0.321,0.6940000000000001,0.41700000000000004,0.102,4.96,4.77,4.69,8.3,71
11,2007.0,Cardinals,2440.0,6211.0,141.0,725.0,690.0,56.0,0.081,0.146,0.132,0.303,0.274,0.337,0.405,0.326,94.0,,-12.7,-61.3,40.6,18.0,78.0,84.0,34.0,678.0,162.0,1435.2,945.0,5.92,3.19,1.05,0.293,0.6809999999999999,0.435,0.096,4.67,4.66,4.67,9.8,78
12,2007.0,Athletics,2220.0,6365.0,171.0,741.0,711.0,52.0,0.10400000000000001,0.17600000000000002,0.151,0.29,0.256,0.338,0.407,0.328,99.0,,-7.0,-12.1,-32.1,17.2,76.0,86.0,36.0,608.0,162.0,1448.0,1036.0,6.44,3.29,0.86,0.296,0.6940000000000001,0.44799999999999995,0.083,4.3,4.23,4.44,17.0,76
13,2007.0,Dodgers,2417.0,6282.0,129.0,735.0,706.0,137.0,0.081,0.138,0.131,0.303,0.275,0.337,0.406,0.326,94.0,,18.3,-33.3,-1.5,16.8,82.0,80.0,43.0,645.0,162.0,1450.0,1184.0,7.35,3.22,0.91,0.301,0.7090000000000001,0.455,0.096,4.2,4.07,4.07,20.0,82
14,2007.0,Blue Jays,2308.0,6197.0,165.0,753.0,719.0,57.0,0.086,0.168,0.16,0.29,0.259,0.327,0.419,0.326,95.0,,-11.3,-47.2,-0.8,16.2,83.0,79.0,44.0,582.0,162.0,1448.2,1067.0,6.63,2.98,0.98,0.282,0.718,0.48700000000000004,0.106,4.0,4.28,4.15,17.5,83
15,2007.0,Padres,2334.0,6326.0,171.0,741.0,704.0,55.0,0.08800000000000001,0.19399999999999998,0.16,0.291,0.251,0.322,0.411,0.32,96.0,,3.3,-30.2,-16.6,15.8,89.0,74.0,45.0,648.0,163.0,1484.2,1136.0,6.89,2.87,0.72,0.287,0.7170000000000001,0.45799999999999996,0.07400000000000001,3.72,3.81,4.13,22.7,89
16,2007.0,Reds,2383.0,6332.0,204.0,783.0,747.0,97.0,0.085,0.17600000000000002,0.17,0.298,0.267,0.335,0.436,0.335,94.0,,-7.2,-58.3,8.4,15.5,72.0,90.0,34.0,684.0,162.0,1449.2,1068.0,6.63,2.99,1.23,0.31,0.6940000000000001,0.4,0.107,4.95,4.69,4.52,15.0,72
17,2007.0,Mariners,2338.0,6209.0,153.0,794.0,754.0,81.0,0.063,0.139,0.138,0.313,0.287,0.337,0.425,0.333,103.0,,-9.6,10.7,-68.4,15.3,88.0,74.0,43.0,618.0,162.0,1434.1,1020.0,6.4,3.43,0.92,0.315,0.693,0.436,0.084,4.77,4.42,4.62,14.2,88
